ID_Statie,Lat,Lon,Data,Inundatie_Target,soil_moisture_surface_pct,soil_moisture
FLD_0037,3.86,-76.53,2023-04-10,1,84.55000305175781,80.45044708251953
FLD_0038,-4.32,15.32,2023-01-13,1,63.970001220703125,63.074127197265625
FLD_0039,-14.48,48.22,2023-01-19,1,94.56999969482422,88.13105010986328
FLD_0040,15.12,105.8,2023-09-10,1,84.83999633789062,81.00074005126953
FLD_0041,-2.17,-77.81,2023-03-01,1,94.37999725341795,89.1291275024414
FLD_0042,-6.79,39.21,2023-04-25,1,97.36000061035156,94.89525604248047
FLD_0043,3.94,43.76,2023-05-01,1,94.33000183105467,89.63545989990234
FLD_0044,24.66,93.9,2023-06-15,1,88.91000366210938,82.68445587158203
FLD_0045,-3.42,-65.86,2023-06-01,1,99.97000122070312,98.19393920898438
FLD_0046,39.9,116.41,2023-07-29,1,98.80999755859376,96.7887954711914
FLD_0047,22.33,114.18,2023-09-07,1,,87.66320037841797
FLD_0048,31.1,77.17,2023-07-08,1,80.37000274658203,75.01457977294922
FLD_0049,30.38,69.35,2023-08-25,1,84.88999938964844,80.32942199707031
FLD_0050,18.36,121.77,2023-05-28,1,,7.25299072265625
FLD_0051,28.37,68.36,2022-06-14,1,81.19999694824219,77.04499053955078
FLD_0052,8.89,5.9,2022-09-01,1,,88.18038177490234
FLD_0053,-27.47,153.03,2022-02-26,1,95.73999786376952,92.62825012207031
FLD_0054,-29.86,30.98,2022-04-11,1,,87.91242218017578
FLD_0055,26.14,91.74,2022-06-15,1,79.0,91.29768371582031
FLD_0056,24.89,91.87,2022-06-17,1,89.94000244140625,85.54021453857422
FLD_0057,8.15,125.12,2022-01-16,1,,90.62390899658203
FLD_0058,15.88,108.34,2022-10-28,1,75.72000122070312,70.79319763183594
FLD_0059,3.86,-76.53,2022-11-01,1,,80.02239227294922
FLD_0060,26.1,85.31,2022-07-15,1,88.4800033569336,83.25914764404297
FLD_0061,29.65,105.07,2022-08-20,1,,86.53746795654297
FLD_0062,37.57,127.0,2022-08-08,1,,91.8637466430664
FLD_0063,37.38,-83.5,2022-07-26,1,91.61000061035156,86.41754913330078
FLD_0064,15.5,32.56,2022-07-20,1,,
FLD_0065,14.03,38.31,2022-07-01,1,,86.90840148925781
FLD_0066,18.09,-93.23,2022-10-25,1,97.86000061035156,94.29082489013672
FLD_0067,-21.45,47.09,2022-02-05,1,,84.79593658447266
FLD_0068,-23.35,47.57,2022-02-22,1,92.58999633789062,87.40790557861328
FLD_0069,-13.52,-71.97,2022-02-20,1,83.72000122070312,77.82266235351562
FLD_0070,35.8,74.46,2022-06-01,1,67.25,63.57066345214844
FLD_0071,50.73,6.07,2021-07-12,1,91.08999633789062,86.0937271118164
FLD_0072,34.75,113.63,2021-07-17,1,98.83999633789062,95.93799591064453
FLD_0073,-3.42,-65.86,2021-05-01,1,99.73999786376952,98.08039093017578
FLD_0074,-2.21,115.28,2021-01-09,1,99.83000183105467,97.91114044189453
FLD_0075,49.4,-120.5,2021-11-14,1,68.37999725341797,64.45155334472656
FLD_0076,30.07,79.02,2021-02-07,1,79.41000366210938,74.1086196899414
FLD_0077,36.1,-87.7,2021-08-21,1,98.0999984741211,93.91107177734375
FLD_0078,41.38,33.77,2021-08-11,1,91.9499969482422,87.79489135742188
FLD_0079,36.89,30.7,2021-08-14,1,81.33000183105469,78.29689025878906
FLD_0080,13.81,8.99,2021-06-15,1,53.400001525878906,49.073768615722656
FLD_0081,17.3,73.92,2021-07-22,1,96.81999969482422,93.00794982910156
FLD_0082,1.08,34.18,2021-09-25,1,99.12999725341795,96.37198638916016
FLD_0083,-3.4,29.14,2021-11-12,1,54.68999862670898,51.037635803222656
FLD_0084,3.85,11.52,2021-10-15,1,,95.73866271972656
FLD_0085,5.69,-76.66,2021-11-01,1,96.54000091552734,94.34722137451172
FLD_0086,6.05,80.22,2021-05-22,1,,72.37437438964844
FLD_0087,24.89,91.87,2021-06-10,1,97.47000122070312,93.4216537475586
FLD_0088,37.87,112.55,2021-10-03,1,97.20999908447266,94.200439453125
FLD_0089,35.1,139.07,2021-07-03,1,62.869998931884766,61.89125061035156
FLD_0090,29.95,-90.07,2021-08-29,1,93.93000030517578,88.22541046142578
FLD_0091,30.59,114.31,2020-06-10,1,85.12000274658203,82.32243347167969
FLD_0092,32.79,130.74,2020-07-03,1,93.62999725341795,90.35997772216797
FLD_0093,15.5,32.56,2020-07-01,1,85.58000183105469,78.82905578613281
FLD_0094,25.01,89.84,2020-07-14,1,76.79000091552734,71.16987609863281
FLD_0095,30.38,69.35,2020-07-01,1,88.0199966430664,83.54202270507812
FLD_0096,26.2,91.75,2020-05-27,1,78.04000091552734,75.2641372680664
FLD_0097,27.7,85.32,2020-07-01,1,98.04000091552734,95.73811340332031
FLD_0098,-14.85,-65.07,2020-01-15,1,88.38999938964844,84.78384399414062
FLD_0099,7.3,38.7,2020-08-01,1,,90.59357452392578
FLD_0100,2.05,45.34,2020-10-15,1,77.54000091552734,75.31044006347656
FLD_0101,-6.21,106.85,2020-01-01,1,99.7699966430664,98.33091735839844
FLD_0102,13.51,2.12,2020-07-01,1,,76.64336395263672
FLD_0103,7.8,6.74,2020-09-15,1,,77.64452362060547
FLD_0104,7.37,13.58,2020-09-20,1,97.45999908447266,93.56476593017578
FLD_0105,17.47,106.62,2020-10-06,1,64.02999877929688,61.00075149536133
FLD_0106,-14.85,-65.07,2020-02-01,1,89.81999969482422,86.82524108886719
FLD_0107,-15.12,39.28,2020-03-21,1,,91.00750732421875
FLD_0108,22.72,89.37,2020-05-20,1,71.5999984741211,65.7458724975586
FLD_0109,22.57,88.36,2020-05-20,1,96.04000091552734,93.64619445800781
FLD_0110,32.48,48.36,2019-03-19,1,90.7699966430664,86.24751281738281
FLD_0111,-19.84,34.84,2019-03-14,1,90.76000213623048,87.69502258300781
FLD_0112,-18.97,32.67,2019-03-15,1,88.94999694824219,84.30609893798828
FLD_0113,-16.0,34.97,2019-03-14,1,93.56999969482422,89.25371551513672
FLD_0114,10.85,76.27,2019-08-07,1,,96.40753936767578
FLD_0115,19.74,96.07,2019-07-29,1,,90.70742797851562
FLD_0116,17.87,121.8,2019-11-12,1,98.18000030517578,94.0174789428711
FLD_0117,24.7,89.96,2019-07-10,1,93.08999633789062,87.594482421875
FLD_0118,41.26,-96.01,2019-03-13,1,,87.3538818359375
FLD_0119,20.46,85.88,2019-05-03,1,,73.00041961669922
FLD_0120,42.81,124.35,2019-08-01,1,92.56999969482422,88.42063903808594
FLD_0121,9.01,40.5,2019-08-01,1,97.7300033569336,92.43620300292969
FLD_0122,15.5,36.4,2019-07-20,1,,54.19015884399414
FLD_0123,7.8,6.74,2019-09-01,1,78.7699966430664,76.36343383789062
FLD_0124,37.99,-0.68,2019-09-11,1,43.86000061035156,41.541786193847656
FLD_0125,10.85,76.27,2018-08-08,1,,96.8334732055664
FLD_0126,34.66,133.93,2018-06-28,1,92.68000030517578,86.9716567993164
FLD_0127,14.81,107.0,2018-07-23,1,,92.63267517089844
FLD_0128,17.87,121.8,2018-09-14,1,,90.81571197509766
FLD_0129,34.99,-77.99,2018-09-14,1,99.0500030517578,95.87093353271484
FLD_0130,-8.58,116.33,2018-08-05,1,98.4499969482422,94.24571228027344
FLD_0131,11.98,104.86,2018-08-15,1,23.729999542236328,25.280506134033203
FLD_0132,8.43,100.0,2018-01-01,1,95.33000183105467,90.60749816894531
FLD_0133,6.73,6.05,2018-09-15,1,,98.2662582397461
FLD_0134,35.5,68.0,2018-04-18,1,71.31999969482422,66.7957534790039
FLD_0135,8.49,-13.23,2017-08-14,1,,48.56980895996094
FLD_0136,24.89,91.4,2017-04-01,1,85.3499984741211,79.81354522705078
FLD_0137,19.08,72.88,2017-08-29,1,97.18000030517578,95.37507629394531
FLD_0138,-8.11,-79.03,2017-01-15,1,79.66999816894531,75.00159454345703
FLD_0139,-5.9,22.42,2017-05-01,1,,96.47850036621094
FLD_0140,1.15,-76.65,2017-03-31,1,97.08000183105467,89.98632049560547
FLD_0141,6.05,80.22,2017-05-26,1,79.27999877929688,76.06877136230469
FLD_0142,29.76,-95.37,2017-08-25,1,97.37000274658205,91.95145416259766
FLD_0143,24.89,91.4,2017-06-10,1,28.46999931335449,27.03996467590332
FLD_0144,16.97,8.0,2017-07-15,1,,58.76184844970703
FLD_0145,-0.9,-80.7,2016-04-16,1,11.989999771118164,
FLD_0146,30.59,114.31,2016-06-18,1,,79.4091796875
FLD_0147,26.1,85.31,2016-08-01,1,98.22000122070312,
FLD_0148,24.7,89.96,2016-08-15,1,,89.51500701904297
FLD_0149,30.45,-91.13,2016-08-12,1,94.70999908447266,88.18815612792969
FLD_0150,27.7,85.32,2016-08-10,1,,
FLD_0151,21.97,95.95,2016-07-28,1,,76.98692321777344
FLD_0152,18.18,121.73,2016-10-19,1,,91.78841400146484
FLD_0153,4.69,95.32,2016-11-05,1,30.459999084472656,0.3442237973213196
FLD_0154,0.02,37.91,2016-04-20,1,,
FLD_0155,17.15,95.2,2015-07-28,1,,84.75527954101562
FLD_0156,13.08,80.27,2015-11-09,1,,77.2236557006836
FLD_0157,28.0,84.99,2015-04-25,1,90.45999908447266,77.91075134277344
FLD_0158,35.85,71.78,2015-07-01,1,80.63999938964844,
FLD_0159,-16.92,35.26,2015-01-13,1,,
FLD_0160,-17.26,36.89,2015-01-15,1,99.91999816894533,
FLD_0161,36.75,69.17,2015-04-01,1,93.66000366210938,76.75110626220703
FLD_0162,9.35,42.8,2015-04-20,1,69.0,
FLD_0163,28.68,115.85,2015-06-01,1,,83.0689926147461
FLD_0164,29.76,-95.37,2015-05-25,1,99.69000244140624,92.78436279296875
FLD_0165,33.73,76.54,2015-06-01,1,51.66999816894531,
FLD_0166,24.89,91.4,2015-06-15,1,47.900001525878906,40.457130432128906
FLD_0167,18.54,-73.05,2015-10-02,1,6.170000076293945,
FLD_0168,33.73,76.54,2014-09-01,1,,
FLD_0169,44.02,21.0,2014-05-14,1,,
FLD_0170,44.77,17.18,2014-05-14,1,,
FLD_0171,45.54,17.81,2014-05-14,1,,
FLD_0172,29.56,106.55,2014-07-01,1,,
FLD_0173,27.7,85.32,2014-07-01,1,,
FLD_0174,11.25,124.0,2014-12-06,1,,48.187320709228516
FLD_0175,30.5,72.0,2014-09-01,1,,
FLD_0176,30.34,78.99,2014-09-01,1,,
FLD_0177,-22.91,-43.17,2014-01-11,1,,
FLD_0178,5.56,-0.2,2014-07-05,1,,
FLD_0179,30.73,79.07,2013-06-14,1,,
FLD_0180,48.14,11.58,2013-05-28,1,,
FLD_0181,11.25,125.0,2013-11-08,1,,
FLD_0182,29.15,64.0,2013-09-03,1,,
FLD_0183,26.1,85.31,2013-08-01,1,,
FLD_0184,-13.52,-64.14,2013-02-01,1,,
FLD_0185,-33.87,151.21,2013-01-26,1,,
FLD_0186,-16.92,35.26,2013-01-10,1,,
FLD_0187,6.5,6.5,2012-08-20,1,,
FLD_0188,26.0,67.0,2012-08-01,1,,
FLD_0189,7.72,125.83,2012-12-04,1,,
FLD_0190,40.71,-74.01,2012-10-28,1,,
FLD_0191,44.96,38.98,2012-07-06,1,,
FLD_0192,26.2,91.75,2012-06-01,1,,
FLD_0193,24.89,91.4,2012-04-15,1,,
FLD_0194,32.8,130.74,2012-07-11,1,,
FLD_0195,14.0,100.5,2011-07-25,1,,
FLD_0196,26.5,68.0,2011-08-01,1,,
FLD_0197,11.98,104.86,2011-09-01,1,,
FLD_0198,-27.47,153.03,2011-01-01,1,,
FLD_0199,8.23,124.24,2011-12-16,1,,
FLD_0200,-22.4,-43.2,2011-01-11,1,,
FLD_0201,8.5,80.5,2011-01-01,1,,
FLD_0202,7.89,-75.01,2011-01-01,1,,
FLD_0203,13.69,-89.19,2011-10-10,1,,
FLD_0204,29.58,111.84,2011-06-01,1,,
FLD_0205,28.37,68.36,2010-07-22,1,,
FLD_0206,33.78,104.37,2010-08-07,1,,
FLD_0207,34.15,77.58,2010-08-05,1,,
FLD_0208,5.0,-77.0,2010-11-01,1,,
FLD_0209,18.09,-93.23,2010-09-25,1,,
FLD_0210,10.49,-66.96,2010-11-15,1,,
FLD_0211,18.54,-73.05,2010-11-05,1,,
FLD_0212,-25.0,152.5,2010-12-01,1,,
FLD_0213,16.77,95.17,2008-05-02,1,,
FLD_0214,26.5,87.0,2008-08-18,1,,
FLD_0215,31.0,103.4,2008-05-12,1,,
FLD_0216,22.7,90.37,2007-11-15,1,,
FLD_0217,53.8,-1.55,2007-06-25,1,,
FLD_0218,3.6,98.67,2009-10-02,1,,
FLD_0219,-9.66,-35.74,2010-06-17,1,,
FLD_0220,-19.11,34.77,2008-01-15,1,,
FLD_0221,-14.85,-65.07,2008-01-10,1,,
FLD_0222,9.59,41.87,2006-08-05,1,,
