ID_Statie,Lat,Lon,Data,Inundatie_Target,soil_moisture_surface_pct,mean_precipitation_mm
FLD_0075,49.4,-120.5,2021-11-14,1,68.37999725341797,1.6226525659914368
FLD_0076,30.07,79.02,2021-02-07,1,79.41000366210938,0.0
FLD_0077,36.1,-87.7,2021-08-21,1,98.0999984741211,1.0350788081133808
FLD_0078,41.38,33.77,2021-08-11,1,91.9499969482422,0.6792854379724573
FLD_0079,36.89,30.7,2021-08-14,1,81.33000183105469,0.0
FLD_0080,13.81,8.99,2021-06-15,1,53.400001525878906,0.00013686992503978587
FLD_0081,17.3,73.92,2021-07-22,1,96.81999969482422,1.1464114542360657
FLD_0082,1.08,34.18,2021-09-25,1,99.12999725341795,1.0253080615290888
FLD_0083,-3.4,29.14,2021-11-12,1,54.68999862670898,0.01016148814448604
FLD_0084,3.85,11.52,2021-10-15,1,,0.07044385980676722
FLD_0085,5.69,-76.66,2021-11-01,1,96.54000091552734,0.320558194760923
FLD_0086,6.05,80.22,2021-05-22,1,,0.30846948976869937
FLD_0087,24.89,91.87,2021-06-10,1,97.47000122070312,0.9026924769083658
FLD_0088,37.87,112.55,2021-10-03,1,97.20999908447266,0.8222460746765137
FLD_0089,35.1,139.07,2021-07-03,1,62.869998931884766,1.6950148123281974
FLD_0090,29.95,-90.07,2021-08-29,1,93.93000030517578,3.118585657190393
FLD_0091,30.59,114.31,2020-06-10,1,85.12000274658203,0.06456066060949255
FLD_0092,32.79,130.74,2020-07-03,1,93.62999725341795,3.898192335058142
FLD_0093,15.5,32.56,2020-07-01,1,85.58000183105469,0.0
FLD_0094,25.01,89.84,2020-07-14,1,76.79000091552734,0.26601111447369613
FLD_0095,30.38,69.35,2020-07-01,1,88.0199966430664,0.1410819866039135
FLD_0096,26.2,91.75,2020-05-27,1,78.04000091552734,1.4361010657416449
FLD_0097,27.7,85.32,2020-07-01,1,98.04000091552734,0.49677601567021124
FLD_0098,-14.85,-65.07,2020-01-15,1,88.38999938964844,0.06564899727150246
FLD_0099,7.3,38.7,2020-08-01,1,,0.058955616421169706
FLD_0100,2.05,45.34,2020-10-15,1,77.54000091552734,0.016210255799470125
FLD_0101,-6.21,106.85,2020-01-01,1,99.7699966430664,0.8941138232195819
FLD_0102,13.51,2.12,2020-07-01,1,,0.02346215424714265
FLD_0103,7.8,6.74,2020-09-15,1,,0.2136826515197754
FLD_0104,7.37,13.58,2020-09-20,1,97.45999908447266,1.7014410760667589
FLD_0105,17.47,106.62,2020-10-06,1,64.02999877929688,1.2076717835885507
FLD_0106,-14.85,-65.07,2020-02-01,1,89.81999969482422,0.14056982817473235
FLD_0107,-15.12,39.28,2020-03-21,1,,0.02458581218013057
FLD_0108,22.72,89.37,2020-05-20,1,71.5999984741211,1.6016231642829046
FLD_0109,22.57,88.36,2020-05-20,1,96.04000091552734,3.5448096416614674
FLD_0110,32.48,48.36,2019-03-19,1,90.7699966430664,0.0
FLD_0111,-19.84,34.84,2019-03-14,1,90.76000213623048,5.6588804280316385
FLD_0112,-18.97,32.67,2019-03-15,1,88.94999694824219,4.479523058290835
FLD_0113,-16.0,34.97,2019-03-14,1,93.56999969482422,0.0014503796895345051
FLD_0114,10.85,76.27,2019-08-07,1,,1.9282809010258428
FLD_0115,19.74,96.07,2019-07-29,1,,0.6021592352125379
FLD_0116,17.87,121.8,2019-11-12,1,98.18000030517578,0.09725711963794849
FLD_0117,24.7,89.96,2019-07-10,1,93.08999633789062,1.7153554492526586
FLD_0118,41.26,-96.01,2019-03-13,1,,1.2606360294200756
FLD_0119,20.46,85.88,2019-05-03,1,,4.27477448074906
FLD_0120,42.81,124.35,2019-08-01,1,92.56999969482422,0.12679674007274486
FLD_0121,9.01,40.5,2019-08-01,1,97.7300033569336,0.030822224087185327
FLD_0122,15.5,36.4,2019-07-20,1,,0.004989129525643808
FLD_0123,7.8,6.74,2019-09-01,1,78.7699966430664,0.567950584270336
FLD_0124,37.99,-0.68,2019-09-11,1,43.86000061035156,0.6273697923730921
FLD_0125,10.85,76.27,2018-08-08,1,,1.041379239824083
FLD_0126,34.66,133.93,2018-06-28,1,92.68000030517578,0.02702739503648546
FLD_0127,14.81,107.0,2018-07-23,1,,1.3261989310935691
FLD_0128,17.87,121.8,2018-09-14,1,,7.232546806335449
FLD_0129,34.99,-77.99,2018-09-14,1,99.0500030517578,8.702368647963912
FLD_0130,-8.58,116.33,2018-08-05,1,98.4499969482422,0.05543231964111328
FLD_0131,11.98,104.86,2018-08-15,1,23.729999542236328,0.23156404495239258
FLD_0132,8.43,100.0,2018-01-01,1,95.33000183105467,0.20185664848045068
FLD_0133,6.73,6.05,2018-09-15,1,,0.36600563261244035
FLD_0134,35.5,68.0,2018-04-18,1,71.31999969482422,0.5531266883567527
FLD_0135,8.49,-13.23,2017-08-14,1,,3.925820191701253
FLD_0136,24.89,91.4,2017-04-01,1,85.3499984741211,3.778342847470884
FLD_0137,19.08,72.88,2017-08-29,1,97.18000030517578,8.46173365910848
FLD_0138,-8.11,-79.03,2017-01-15,1,79.66999816894531,0.3869621841995804
FLD_0139,-5.9,22.42,2017-05-01,1,,0.0010861290825737847
FLD_0140,1.15,-76.65,2017-03-31,1,97.08000183105467,0.7866113274185745
FLD_0141,6.05,80.22,2017-05-26,1,79.27999877929688,0.6798329176726166
FLD_0142,29.76,-95.37,2017-08-25,1,97.37000274658205,0.8463285587452076
FLD_0143,24.89,91.4,2017-06-10,1,28.46999931335449,0.5363159709506564
FLD_0144,16.97,8.0,2017-07-15,1,,0.001231829325358073
FLD_0145,-0.9,-80.7,2016-04-16,1,11.989999771118164,0.022119945949978296
FLD_0146,30.59,114.31,2016-06-18,1,,0.40837791230943465
FLD_0147,26.1,85.31,2016-08-01,1,98.22000122070312,0.28216176562839085
FLD_0148,24.7,89.96,2016-08-15,1,,0.3288432403847023
FLD_0149,30.45,-91.13,2016-08-12,1,94.70999908447266,4.280291221759937
FLD_0150,27.7,85.32,2016-08-10,1,,0.5451639493306478
FLD_0151,21.97,95.95,2016-07-28,1,,0.43306748072306317
FLD_0152,18.18,121.73,2016-10-19,1,,3.9705987329836248
FLD_0153,4.69,95.32,2016-11-05,1,30.459999084472656,0.7958677079942492
FLD_0154,0.02,37.91,2016-04-20,1,,0.09439388910929362
FLD_0155,17.15,95.2,2015-07-28,1,,1.091917355855306
FLD_0156,13.08,80.27,2015-11-09,1,,2.413668014385082
FLD_0157,28.0,84.99,2015-04-25,1,90.45999908447266,0.4854224346302174
FLD_0158,35.85,71.78,2015-07-01,1,80.63999938964844,0.04430170412416811
FLD_0159,-16.92,35.26,2015-01-13,1,,1.6034002657289856
FLD_0160,-17.26,36.89,2015-01-15,1,99.91999816894533,0.2194907930162218
FLD_0161,36.75,69.17,2015-04-01,1,93.66000366210938,0.5086859067281088
FLD_0162,9.35,42.8,2015-04-20,1,69.0,0.007278389400906033
FLD_0163,28.68,115.85,2015-06-01,1,,0.3449210414180049
FLD_0164,29.76,-95.37,2015-05-25,1,99.69000244140624,0.09319738105491356
FLD_0165,33.73,76.54,2015-06-01,1,51.66999816894531,0.12249416775173612
FLD_0166,24.89,91.4,2015-06-15,1,47.900001525878906,0.893623740584762
FLD_0167,18.54,-73.05,2015-10-02,1,6.170000076293945,0.35649979556048356
FLD_0168,33.73,76.54,2014-09-01,1,,0.041917518333152486
FLD_0169,44.02,21.0,2014-05-14,1,,1.8845884888260453
FLD_0170,44.77,17.18,2014-05-14,1,,1.1665467862729675
FLD_0171,45.54,17.81,2014-05-14,1,,0.4332705780311867
FLD_0172,29.56,106.55,2014-07-01,1,,0.45749213960435653
FLD_0173,27.7,85.32,2014-07-01,1,,1.1144081751505535
FLD_0174,11.25,124.0,2014-12-06,1,,4.230289547531693
FLD_0175,30.5,72.0,2014-09-01,1,,0.12647664105450668
FLD_0176,30.34,78.99,2014-09-01,1,,0.4356702168782552
FLD_0177,-22.91,-43.17,2014-01-11,1,,0.010477172003851997
FLD_0178,5.56,-0.2,2014-07-05,1,,0.7321989094769513
FLD_0179,30.73,79.07,2013-06-14,1,,0.5781694694801613
FLD_0180,48.14,11.58,2013-05-28,1,,0.03516674041748047
FLD_0181,11.25,125.0,2013-11-08,1,,2.847004819799353
FLD_0182,29.15,64.0,2013-09-03,1,,0.0
FLD_0183,26.1,85.31,2013-08-01,1,,0.2280804846021864
FLD_0184,-13.52,-64.14,2013-02-01,1,,0.4765788714090983
FLD_0185,-33.87,151.21,2013-01-26,1,,0.7408327526516385
FLD_0186,-16.92,35.26,2013-01-10,1,,1.0361538992987738
FLD_0187,6.5,6.5,2012-08-20,1,,0.19052293565538195
FLD_0188,26.0,67.0,2012-08-01,1,,0.007368900157787182
FLD_0189,7.72,125.83,2012-12-04,1,,2.7865944085297762
FLD_0190,40.71,-74.01,2012-10-28,1,,0.031111416993317778
FLD_0191,44.96,38.98,2012-07-06,1,,0.34666944433141633
FLD_0192,26.2,91.75,2012-06-01,1,,0.24048266587433992
FLD_0193,24.89,91.4,2012-04-15,1,,0.2561940087212457
FLD_0194,32.8,130.74,2012-07-11,1,,2.8057826889885793
FLD_0195,14.0,100.5,2011-07-25,1,,0.4977186520894369
FLD_0196,26.5,68.0,2011-08-01,1,,0.002406261585376881
FLD_0197,11.98,104.86,2011-09-01,1,,0.4442643236230921
FLD_0198,-27.47,153.03,2011-01-01,1,,0.3813372717963324
FLD_0199,8.23,124.24,2011-12-16,1,,2.8582016626993814
FLD_0200,-22.4,-43.2,2011-01-11,1,,1.0207185038813837
FLD_0201,8.5,80.5,2011-01-01,1,,0.74792570537991
FLD_0202,7.89,-75.01,2011-01-01,1,,0.12637509240044487
FLD_0203,13.69,-89.19,2011-10-10,1,,0.3820414896364565
FLD_0204,29.58,111.84,2011-06-01,1,,0.0006203298215512876
FLD_0205,28.37,68.36,2010-07-22,1,,0.09782005239416051
FLD_0206,33.78,104.37,2010-08-07,1,,0.2954381483572501
FLD_0207,34.15,77.58,2010-08-05,1,,0.13664033677842882
FLD_0208,5.0,-77.0,2010-11-01,1,,1.1595333064043964
FLD_0209,18.09,-93.23,2010-09-25,1,,0.509886829941361
FLD_0210,10.49,-66.96,2010-11-15,1,,0.4032761962325485
FLD_0211,18.54,-73.05,2010-11-05,1,,2.869670037870054
FLD_0212,-25.0,152.5,2010-12-01,1,,0.6306061038264522
FLD_0213,16.77,95.17,2008-05-02,1,,5.795666465052852
FLD_0214,26.5,87.0,2008-08-18,1,,1.1364751391940648
FLD_0215,31.0,103.4,2008-05-12,1,,0.6727333422060366
FLD_0216,22.7,90.37,2007-11-15,1,,3.5577217737833657
FLD_0217,53.8,-1.55,2007-06-25,1,,1.343758017928512
FLD_0218,3.6,98.67,2009-10-02,1,,0.7392432954576281
FLD_0219,-9.66,-35.74,2010-06-17,1,,0.7523585248876501
FLD_0220,-19.11,34.77,2008-01-15,1,,0.19925611990469475
FLD_0221,-14.85,-65.07,2008-01-10,1,,0.7124123749909577
FLD_0222,9.59,41.87,2006-08-05,1,,0.4247294531928168
